"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "JSON", "XML", "PostCSS", "TypeScript JSX", "Markdown", "comment", "blank", "total"
"/Users/ahmetselim/paletevreni/app/tanitim-videolari/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 2, 7, 48
"/Users/ahmetselim/paletevreni/eslint.config.mjs", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 2, 2, 15
"/Users/ahmetselim/paletevreni/middleware.off.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 2, 5, 23
"/Users/ahmetselim/paletevreni/next.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 3, 1, 9
"/Users/ahmetselim/paletevreni/next.config.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"/Users/ahmetselim/paletevreni/package-lock.json", "JSON", 0, 0, 0, 7278, 0, 0, 0, 0, 0, 1, 7279
"/Users/ahmetselim/paletevreni/package.json", "JSON", 0, 0, 0, 37, 0, 0, 0, 0, 0, 1, 38
"/Users/ahmetselim/paletevreni/postcss.config.mjs", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/ahmetselim/paletevreni/public/file.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/ahmetselim/paletevreni/public/globe.svg", "XML", 0, 0, 0, 0, 500, 0, 0, 0, 0, 5, 505
"/Users/ahmetselim/paletevreni/public/next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/ahmetselim/paletevreni/public/vercel.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"/Users/ahmetselim/paletevreni/public/window.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/ahmetselim/paletevreni/tailwind.config.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 2, 2, 29
"/Users/ahmetselim/paletevreni/tsconfig.json", "JSON with Comments", 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"Total", "-", 2535, 36, 20, 7315, 513, 34, 6275, 23, 442, 1109, 18302
